participant_id,image_name,task,emotion,sac1,sac2,sac3,sac4,sac5
ANT,34M_HA_X.BMP,Arousal,HA,Nose,Nose,Nose,Nose,Nose
AUN,34M_HA_X.BMP,Arousal,HA,Outside,Outside,NA,NA,NA
CHN,34M_HA_X.BMP,Arousal,HA,Mouth,NA,NA,NA,NA
DHA,34M_HA_X.BMP,Arousal,HA,Eyes,Eyes,Eyes,Eyes,Eyes
HAH,34M_HA_X.BMP,Arousal,HA,Eyes,Nose,Eyes,NA,NA
HMN,34M_HA_X.BMP,Arousal,HA,Nose,Nose,Mouth,Nose,Nose
KUL,34M_HA_X.BMP,Arousal,HA,Nose,Nose,Nose,Outside,Nose
PRA,34M_HA_X.BMP,Arousal,HA,Nose,Nose,Eyes,Eyes,Outside
SHI,34M_HA_X.BMP,Arousal,HA,Nose,Outside,Outside,Outside,Outside
SYE,34M_HA_X.BMP,Arousal,HA,Mouth,Outside,Mouth,Mouth,Nose
VIL,34M_HA_X.BMP,Arousal,HA,Nose,NA,NA,NA,NA
ANT,08F_AN_C.BMP,Arousal,AN,Outside,Nose,Mouth,Nose,NA
CHN,08F_AN_C.BMP,Arousal,AN,Outside,Eyes,Eyes,Nose,Nose
DEP,08F_AN_C.BMP,Arousal,AN,Eyes,Outside,Nose,Nose,Eyes
DHA,08F_AN_C.BMP,Arousal,AN,Eyes,Eyes,Eyes,Nose,Nose
HAH,08F_AN_C.BMP,Arousal,AN,Eyes,NA,NA,NA,NA
HAM,08F_AN_C.BMP,Arousal,AN,Eyes,Eyes,Eyes,Outside,Eyes
KUL,08F_AN_C.BMP,Arousal,AN,Nose,Nose,NA,NA,NA
LOV,08F_AN_C.BMP,Arousal,AN,Eyes,Nose,Nose,Outside,Outside
NIS,08F_AN_C.BMP,Arousal,AN,Outside,Outside,NA,NA,NA
PRA,08F_AN_C.BMP,Arousal,AN,Nose,Nose,NA,NA,NA
SKR,08F_AN_C.BMP,Arousal,AN,Outside,Nose,Outside,Nose,Eyes
SYE,08F_AN_C.BMP,Arousal,AN,Outside,Outside,Eyes,Outside,Outside
VIL,08F_AN_C.BMP,Arousal,AN,Nose,Nose,Nose,Mouth,Nose
CHN,01F_HA_X.BMP,Arousal,HA,Eyes,Eyes,Nose,Nose,Outside
HAH,01F_HA_X.BMP,Arousal,HA,Eyes,Nose,Nose,Nose,Nose
HAM,01F_HA_X.BMP,Arousal,HA,Nose,NA,NA,NA,NA
HMN,01F_HA_X.BMP,Arousal,HA,Eyes,Eyes,Eyes,Nose,Eyes
JAY,01F_HA_X.BMP,Arousal,HA,Eyes,Outside,Outside,Eyes,Outside
KUL,01F_HA_X.BMP,Arousal,HA,Nose,Eyes,Nose,Nose,Eyes
LOV,01F_HA_X.BMP,Arousal,HA,Nose,Eyes,Mouth,Eyes,Outside
MAL,01F_HA_X.BMP,Arousal,HA,Eyes,Eyes,NA,NA,NA
NAN,01F_HA_X.BMP,Arousal,HA,Eyes,NA,NA,NA,NA
PRA,01F_HA_X.BMP,Arousal,HA,Eyes,Eyes,Eyes,NA,NA
SHI,01F_HA_X.BMP,Arousal,HA,Outside,NA,NA,NA,NA
SYE,01F_HA_X.BMP,Arousal,HA,Eyes,Outside,Outside,Outside,Outside
VIL,01F_HA_X.BMP,Arousal,HA,Nose,Nose,NA,NA,NA
ANT,30M_AN_C.BMP,Arousal,AN,Nose,NA,NA,NA,NA
AUN,30M_AN_C.BMP,Arousal,AN,Outside,Eyes,NA,NA,NA
DEP,30M_AN_C.BMP,Arousal,AN,Eyes,NA,NA,NA,NA
DHA,30M_AN_C.BMP,Arousal,AN,Nose,Nose,Nose,Nose,Nose
HMN,30M_AN_C.BMP,Arousal,AN,Nose,Nose,Nose,NA,NA
JAY,30M_AN_C.BMP,Arousal,AN,Nose,NA,NA,NA,NA
KRT,30M_AN_C.BMP,Arousal,AN,Outside,Nose,Nose,Nose,Nose
LOV,30M_AN_C.BMP,Arousal,AN,Eyes,Outside,Nose,Nose,Outside
PRA,30M_AN_C.BMP,Arousal,AN,Eyes,Eyes,Outside,Nose,NA
SKR,30M_AN_C.BMP,Arousal,AN,Outside,Eyes,NA,NA,NA
SYE,30M_AN_C.BMP,Arousal,AN,Eyes,Eyes,Eyes,Outside,Outside
VIL,30M_AN_C.BMP,Arousal,AN,Nose,Nose,Nose,Nose,Eyes
